Name,avg_salary,avg_raptor,season_end,season_start
Chris Douglas-Roberts,604187,-4.4,2015,2008
Chris Dudley,2553666.667,-2.626666667,2003,1987
Chris Duhon,3508230.778,-0.911111111,2013,2004
Chris Engler,125000,-6.1,1988,1987
Chris Garner,242000,-5.3,1998,1997
Chris Gatling,2681711.545,-1.454545455,2002,1991
Chris Herren,309422,-3.15,2001,1999
Chris Hunter,632455,-3.6,2010,2009
Chris Jefferies,811080,-5.3,2004,2002
Chris Jent,247500,1.5,1997,1996
Chris Johnson,336383.75,-2.575,2016,2010
Chris Kaman,6655951.385,-3.261538462,2016,2003
Chris King,225000,-2.9,1996,1995
Chris McCray,161061,-18.8,2007,2006
Chris McCullough,1267700.667,-2.433333333,2018,2015
Chris Mihm,2647183,-4.9,2009,2000
Chris Mills,3077000,-0.77,2003,1993
Chris Morris,1638000,1.42,1999,1988
Chris Mullin,2526537.5,2.21875,2001,1985
Chris Owens,349458,-2.3,2003,2002
Chris Paul,14229882.85,8.953846154,2018,2005
Chris Porter,316969,-4.6,2001,2000
Chris Quinn,797946.6,-1.7,2011,2006
Chris Richard,235241,-3.85,2010,2007
Chris Robinson,272500,-2.45,1998,1996
Chris Singleton,1566680,-3.666666667,2014,2011
Chris Smith,275000,-2.266666667,1995,1992
Chris Taft,423762,-0.7,2006,2005
Chris Washburn,777200,-4.8,1988,1987
Chris Webber,10484158.65,0.541176471,2008,1993
Chris Welp,262500,-3.15,1989,1987
Chris Whitney,1419290,-1.54,2004,1993
Chris Wilcox,3533143.636,-2.554545455,2013,2002
Chris Wright,473604,0.2,2012,2011
Christian Eyenga,1059240,-5.85,2012,2010
Christian Laettner,4391785.714,-3.17207E-17,2005,1992
Christian Wood,590212.5,-1.9,2017,2015
Chuck Hayes,3076754.2,0.34,2016,2006
Chuck Nevitt,137000,-11.725,1992,1985
Chuck Person,1638152.167,-1.05,2000,1987
Chucky Atkins,2849287.917,-1.666666667,2010,1999
Chucky Brown,495906.25,-3.175,2000,1990
CJ McCollum,6889006.4,1.2,2018,2013
CJ Miles,3246366.538,-0.123076923,2018,2005
Clarence Weatherspoon,3426644.444,-1.122222222,2005,1992
Clark Kellogg,466000,0.733333333,1987,1984
Claude Gregory,75000,-3.5,1988,1987
Cleanthony Early,676197.5,-5.2,2016,2014
Clemon Johnson,440000,-3.266666667,1988,1984
Cliff Alexander,525093,-3.5,2016,2015
Cliff Levingston,537500,-0.15,1995,1984
Cliff Robinson,601900,-1.025,1989,1984
Clifford Robinson,3592919.118,-0.064705882,2007,1990
Clifford Rozier,711450,-11,1998,1994
Clint Capela,1515670,0.3,2018,2014
Clint McDaniel,200000,2.9,1996,1995
Clint Richardson,187500,-2.05,1986,1984
Clinton Wheeler,100000,0.55,1989,1987
Clyde Drexler,2395923.077,5.723076923,1998,1984
Coby Karl,260792.6667,-39.2,2010,2007
Cody Zeller,5998876.6,0.32,2018,2013
Cole Aldrich,3411951.857,-3.514285714,2018,2010
Conner Henry,120000,-6.6,1988,1987
Corey Beck,348625,-4.1,1999,1997
Corey Benjamin,661720,-4.933333333,2001,1998
Corey Brewer,4200493.917,-0.125,2018,2007
Corey Crowder,136491,-8,1995,1991
Corey Maggette,6366537.429,-0.971428571,2013,1999
Corey Williams,200000,-6.2,1993,1992
Corie Blount,1203477.917,-2.233333333,2004,1993
Corliss Williamson,3556126.667,-2.425,2007,1995
Corsley Edwards,319498,-4.3,2005,2004
Cory Alexander,1142676,-1.94,2001,1995
Cory Carr,287500,-7.4,1999,1998
Cory Higgins,259219.5,-4.65,2013,2011
Cory Jefferson,464392.5,0.8,2016,2014
Cory Joseph,3891163,-1.185714286,2018,2011
Coty Clarke,61776,6.5,2016,2015
Courtney Alexander,1418360,-5.133333333,2003,2000
Courtney Fortson,42009,-3.6,2012,2011
Courtney Lee,5041470.3,-0.4,2018,2008
Courtney Sims,148389,-1.95,2009,2007
Craig Brackins,1355940,-6.5,2012,2010
Craig Ehlo,877272.7273,0.418181818,1997,1984
Craig Hodges,365000,0.15,1992,1984
Craig Neal,100000,-4.4,1989,1988
Craig Smith,1565475.667,-1.733333333,2012,2006
Cristiano Felicio,3081075.333,-2.166666667,2018,2015
Curtis Borchardt,1234060,-4.25,2005,2003
Cuttino Mobley,5269386.364,0.172727273,2009,1998
D.J. Augustin,3563831,-1.2,2018,2008
D.J. Strawberry,427163,-3.8,2008,2007
D.J. Wilson,2135040,-13.2,2018,2017
D'Angelo Russell,5332760,-3.466666667,2018,2015
Daequan Cook,1858706.571,-3.171428571,2013,2007
Dahntay Jones,1385940.846,-3.384615385,2017,2003
DaJuan Summers,507640,-4.633333333,2012,2009
Dajuan Wagner,2046262.75,-3.675,2007,2002
Dakari Johnson,815615,3.6,2018,2017
Dale Davis,4830122.375,0.1625,2007,1991
Dale Ellis,1198850,0.14,2000,1984
Dalibor Bagaric,826862.3333,-6.7,2003,2000
Dallas Comegys,145000,-4.3,1989,1987
Damian Jones,1242085.5,-7.25,2018,2016
Damian Lillard,10721108.17,3.4,2018,2012
Damien Inglis,855000,-5,2016,2015
Damien Wilkins,1902005.3,-2.26,2018,2004
Damion James,816552.6667,-3.366666667,2013,2010
Damion Lee,138240,1.3,2018,2017
Damir Markota,412718,-7.7,2007,2006
Damjan Rudez,1076643.667,-5.5,2017,2014
Damon Jones,1811575.583,-1.458333333,2009,1998
Damon Stoudamire,6953371.286,0.242857143,2008,1995
Damone Brown,267662.5,-9.1,2004,2001
Damyean Dotson,1100000,0.1,2018,2017
Dan Dickau,1632200.571,-4.285714286,2008,2002
Dan Gadzuric,4178795.333,-2.044444444,2011,2002
Dan Godfread,100000,-10.7,1992,1991
Dan Issel,614000,-1.1,1985,1984
Dan Langhi,394808,-7.08,2004,2000
Dan Majerle,2179615.385,2.515384615,2002,1988
Dan O'Sullivan,140000,16,1993,1992
Dan Roundfield,716625,-1.45,1986,1984
Dana Barros,2132291.667,0.358333333,2002,1990
Daniel Ewing,557104.5,-2.35,2007,2005
Daniel Gibson,3157167.714,-0.928571429,2013,2006
Daniel Ochefu,543471,-12.9,2017,2016
Daniel Orton,931636,-1.7,2013,2011
Daniel Santiago,825704.75,-5.175,2005,2000
Daniel Theis,815615,0.3,2018,2017
Danilo Gallinari,9262305.667,2.366666667,2018,2008
Danny Ainge,977777.7778,2.288888889,1995,1984
Danny Ferry,3403307.692,-1.7,2003,1990
Danny Fortson,4214524,-2.34,2007,1997
Danny Granger,6866032.5,0.15,2015,2005
Danny Green,4743736.778,2.588888889,2018,2009
Danny Manning,3730979.125,-0.40625,2003,1988
Danny Schayes,991307.6923,-2.869230769,1999,1984
Danny Vranes,452250,-1.9,1988,1984
Danny Young,253750,0.783333333,1995,1985
Dante Cunningham,1844441.667,-2.1,2018,2009
Dante Exum,4182568.333,-0.333333333,2018,2014
Darington Hobson,245884,-7.5,2012,2011
Dario Saric,2370420,-0.75,2018,2016
Darius Johnson-Odom,192228,-11,2013,2012
Darius Miles,4624996.625,-1.6125,2009,2000
Darius Miller,940619,-5.025,2018,2012
Darius Morris,796206,-6.975,2015,2011
Darius Songaila,3167241.375,-2.6,2011,2003
Darius Washington,154847,-3.7,2008,2007
Darko Milicic,4756694.727,-8.627272727,2013,2003
Darnell Jackson,680269.6667,-5.9,2011,2008
Darnell Mee,200000,2.45,1995,1993
Darnell Valentine,242000,-0.76,1991,1984
Darrell Armstrong,2118187.538,2.430769231,2008,1995
Darrell Arthur,3466161.778,-2.766666667,2018,2008
Darrell Griffith,645750,-1.3,1991,1984
Darrell Walker,479285.7143,0.114285714,1993,1984
Darren Collison,3704793.444,0.622222222,2018,2009
Darren Daye,107500,0.1,1986,1984
Darren Morningstar,43000,-3.8,1994,1993
Darrick Martin,733353.7778,-3,2008,1995
Darrin Hancock,207500,-2.633333333,1997,1994
Darryl Dawkins,683500,-3.775,1989,1984
Darryl Watkins,109461,-9,2008,2007
Darvin Ham,857301.25,-3.0625,2005,1996
Darwin Cook,310000,0.033333333,1989,1984
Dave Corzine,596666.6667,-2.333333333,1991,1984
Dave Feitl,167175,-6.9,1992,1987
Dave Greenwood,640000,-2.9,1991,1984
Dave Henderson,75000,-7.3,1988,1987
Dave Hoppen,293750,-6.7,1992,1987
Dave Jamerson,756666.6667,-10.86666667,1994,1990
Dave Johnson,575000,-8.35,1994,1992
Dave Popson,80000,-6.9,1991,1990
David Andersen,2400000,-4.05,2011,2009
David Benoit,697870.8571,-1.985714286,2001,1991
David Harrison,1107229,-4.375,2008,2004
David Lee,7289045.846,0.307692308,2017,2005
David Noel,412718,-5.2,2007,2006
David Nwaba,725038.5,0.25,2018,2016
David Rivers,200000,-4.9,1989,1988
David Robinson,8353437.357,6.914285714,2003,1989
David Stockton,111328,-6.25,2018,2014
David Vaughn,572960,-3.575,1999,1995
David Wear,29843,-7.5,2015,2014
David Wesley,2320357.143,0.628571429,2007,1993
David West,6146030.6,0.626666667,2018,2003
David Wingate,541205.0769,-3.076923077,2001,1987
David Wood,318416.6667,-2.2,1997,1990
Davis Bertans,928041,2.05,2018,2016
Davon Reed,815615,-8.8,2018,2017
De'Aaron Fox,4609200,-4.3,2018,2017
Dean Garrett,2141250,-3.233333333,2002,1996
Dean Oliver,225776,-4.45,2003,2001
DeAndre Jordan,10848788.9,0.04,2018,2008
DeAndre Liggins,631678.8333,-3.766666667,2018,2011
DeAndre' Bembry,1533480,-4.65,2018,2016
Dedric Willoughby,134956,-0.1,2000,1999
Dee Brown,1770948.929,-1.6,2009,1990
Dejounte Murray,1246345.5,-2.2,2018,2016
DeJuan Blair,1250843.857,-2.557142857,2016,2009
DeJuan Wheat,204000,-2.533333333,1999,1997
Delaney Rudd,227500,-3.15,1992,1990
Dell Curry,1416500,0.428571429,2002,1987
Dell Demps,225000,-3.4,1996,1995
Delon Wright,1577280,2.433333333,2018,2015
Delonte West,1904982,0.7,2012,2004
DeMar DeRozan,10387316.11,-0.755555556,2018,2009
